,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,Maruti,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
1,Skoda,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0
2,Honda,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0
3,Hyundai,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0
4,Maruti,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0
5,Hyundai,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0
6,Maruti,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0
8,Toyota,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0
9,Ford,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0
10,Renault,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0
11,Maruti,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0
12,Maruti,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0
13,Maruti,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0
14,Mahindra,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0
16,Hyundai,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0
17,Maruti,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
18,Hyundai,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
19,Mahindra,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0
20,Honda,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0
21,Maruti,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
22,Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0
23,Tata,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0
24,Maruti,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
25,Maruti,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0
27,Maruti,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0
29,Maruti,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
30,Maruti,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0
31,Hyundai,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0
32,Maruti,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
34,Maruti,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0
36,Datsun,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0
40,Honda,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0
41,Honda,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0
42,Maruti,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0
43,Maruti,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
44,Maruti,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0
48,Honda,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0
50,Honda,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0
51,Maruti,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0
52,Honda,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0
59,Tata,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0
60,Hyundai,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0
61,Hyundai,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0
62,Maruti,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0
63,Ford,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0
64,Maruti,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
65,Volkswagen,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0
66,Honda,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0
67,Maruti,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0
68,Volkswagen,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0
69,Maruti,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
70,Maruti,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0
71,Hyundai,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
72,Maruti,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0
74,Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0
76,Volkswagen,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0
78,Ford,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0
80,Maruti,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0
81,Datsun,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0
82,Maruti,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0
83,Maruti,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0
84,Hyundai,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0
85,Maruti,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0
86,Maruti,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0
87,Volkswagen,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0
88,Hyundai,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0
89,Volkswagen,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0
90,Maruti,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0
91,Hyundai,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0
92,Maruti,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
93,Hyundai,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0
94,Maruti,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0
95,Hyundai,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
96,Maruti,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0
97,Tata,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0
98,Maruti,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0
100,Maruti,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
102,Ford,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0
105,Tata,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0
107,Tata,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0
109,Hyundai,2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0
111,Maruti,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0
112,Maruti,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
113,Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
114,Maruti,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
115,Nissan,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0
117,Ford,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0
118,Maruti,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0
119,Renault,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0
120,Maruti,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0
121,Maruti,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0
123,Hyundai,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0
125,Honda,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0
137,Honda,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0
141,Maruti,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0
